Code,Residential,Description,Comment on Change/s
10,Residential Use Development Land,,
100,Vacant Residential Dwelling Site/Surveyed Lot,Vacant land suitable for the erection of a detached or semi-detached dwelling.,Home Changed to Dwelling
101,Residential Development Site,Vacant land with a permit approved or capable of being developed for high density residential purposes.,
102,Vacant In globo Residential Subdivisional Land,Vacant land zoned for future residential subdivision.,
102.1,Unspecified,,
102.2,Subdivisional Land (Multi Lot),,
102.3,Subdivisional Land (In globo/Potential),,
103,Vacant Residential Rural/Rural Lifestyle,"Vacant land in a rural, semi-rural or bushland setting capable of being developed with a single residential dwelling.",
109,Residential Airspace,"Airspace capable of being developed for residential purposes, usually above a rooftop, roadway or railway.",
11,Single Residential Accommodation ,,
110,Detached Dwelling,Freestanding dwelling on residential land.,Home Changed to Dwelling
110.1,Unspecified,,
110.2,Detached Dwelling (new),,Home Changed to Dwelling
110.3,Detached Dwelling (existing),,Home Changed to Dwelling
110.4,Detached Dwelling Non-Conforming Use-Commercial,Detached dwelling used for residential purposes on commercial land.,New AVPCC
110.5,Detached Dwelling Non-Conforming Use-Industrial,Detached dwelling used for residential purposes on industrial land.,New AVPCC
111,Separate Dwelling and Curtilage,"Freestanding dwelling on defined curtilage, being part of a larger holding of varying use, e.g. caretaker’s dwelling on industrial site, second dwelling on farm. ",Separate House and Curtilage changed to Separate Dwelling and Curtilage
112,Semi-Detached/Terrace/Row House,Attached or semi-detached dwelling that does not share common land. ,Semi-Detached/Terrace Home/Row House changed to Semi-Detached/Terrace/Row House
112.1,Unspecified,,
112.2,Semi-detached,,
112.3,Terrace,,
112.4,Row House,,
112.5,Half Pair or Duplex,,
113,Granny Flat/Studio,"Dwelling either detached or adjoined to a principal dwelling that is self-contained, connected to services but not subdivided in the present form. ",
114,Dwelling and Dependant Unit,"Dwelling and dependant unit not permitted to be separately occupied either detached or adjoined, each self-contained, connected to services but not subdivided in the present form.",House and Flat/Studio changed to Dwelling and Dependant Unit
115,Shack/Hut/Donga,"Basic structure with limited services and amenities, providing basic, short-term accommodation. ",
